['/workspace/scratch/jobs/earza/transfer_randomly_generated/experimentResults/transfer_generated_continuous/controllers/top_controllers/NLO_64_seed2_best.controller', '0', '20', [0.138115, 0.99912, 0.985441],2]
['/workspace/scratch/jobs/earza/transfer_randomly_generated/experimentResults/transfer_generated_continuous/controllers/top_controllers/NLO_64_seed2_best.controller', '0', '20', [0.138127, 0.999094, 0.985657],4]
['/workspace/scratch/jobs/earza/transfer_randomly_generated/experimentResults/transfer_generated_continuous/controllers/top_controllers/NLO_64_seed2_best.controller', '0', '20', [0.13828, 0.999091, 0.985957],8]
['/workspace/scratch/jobs/earza/transfer_randomly_generated/experimentResults/transfer_generated_continuous/controllers/top_controllers/NLO_64_seed2_best.controller', '0', '20', [0.138077, 0.999071, 0.98569],16]
['/workspace/scratch/jobs/earza/transfer_randomly_generated/experimentResults/transfer_generated_continuous/controllers/top_controllers/NLO_64_seed2_best.controller', '0', '20', [0.138185, 0.999117, 0.985632],32]
['/workspace/scratch/jobs/earza/transfer_randomly_generated/experimentResults/transfer_generated_continuous/controllers/top_controllers/NLO_64_seed2_best.controller', '0', '20', [0.137737, 0.999015, 0.985534],64]
['/workspace/scratch/jobs/earza/transfer_randomly_generated/experimentResults/transfer_generated_continuous/controllers/top_controllers/NLO_1_seed3_best.controller', '0', '20', [-0.0803345, 0.989201, 0.738168],1]
['/workspace/scratch/jobs/earza/transfer_randomly_generated/experimentResults/transfer_generated_continuous/controllers/top_controllers/NLO_1_seed3_best.controller', '0', '20', [-0.0796883, 0.989141, 0.738356],2]
['/workspace/scratch/jobs/earza/transfer_randomly_generated/experimentResults/transfer_generated_continuous/controllers/top_controllers/NLO_1_seed3_best.controller', '0', '20', [-0.0781179, 0.989007, 0.73875],4]
['/workspace/scratch/jobs/earza/transfer_randomly_generated/experimentResults/transfer_generated_continuous/controllers/top_controllers/NLO_1_seed3_best.controller', '0', '20', [-0.0777266, 0.989006, 0.738816],8]
['/workspace/scratch/jobs/earza/transfer_randomly_generated/experimentResults/transfer_generated_continuous/controllers/top_controllers/NLO_1_seed3_best.controller', '0', '20', [-0.0760479, 0.988837, 0.739261],16]
['/workspace/scratch/jobs/earza/transfer_randomly_generated/experimentResults/transfer_generated_continuous/controllers/top_controllers/NLO_1_seed3_best.controller', '0', '20', [-0.0796575, 0.989116, 0.738367],32]
['/workspace/scratch/jobs/earza/transfer_randomly_generated/experimentResults/transfer_generated_continuous/controllers/top_controllers/NLO_1_seed3_best.controller', '0', '20', [-0.073121, 0.988504, 0.73999],64]
['/workspace/scratch/jobs/earza/transfer_randomly_generated/experimentResults/transfer_generated_continuous/controllers/top_controllers/NLO_2_seed3_best.controller', '0', '20', [0.0996641, 0.992918, 0.99774],1]
['/workspace/scratch/jobs/earza/transfer_randomly_generated/experimentResults/transfer_generated_continuous/controllers/top_controllers/NLO_2_seed3_best.controller', '0', '20', [0.0990436, 0.99292, 0.997755],2]
['/workspace/scratch/jobs/earza/transfer_randomly_generated/experimentResults/transfer_generated_continuous/controllers/top_controllers/NLO_2_seed3_best.controller', '0', '20', [0.103691, 0.992963, 0.997765],4]
['/workspace/scratch/jobs/earza/transfer_randomly_generated/experimentResults/transfer_generated_continuous/controllers/top_controllers/NLO_2_seed3_best.controller', '0', '20', [0.104955, 0.992968, 0.997768],8]
['/workspace/scratch/jobs/earza/transfer_randomly_generated/experimentResults/transfer_generated_continuous/controllers/top_controllers/NLO_2_seed3_best.controller', '0', '20', [0.103984, 0.992964, 0.997759],16]
['/workspace/scratch/jobs/earza/transfer_randomly_generated/experimentResults/transfer_generated_continuous/controllers/top_controllers/NLO_2_seed3_best.controller', '0', '20', [0.0992425, 0.992917, 0.99775],32]
['/workspace/scratch/jobs/earza/transfer_randomly_generated/experimentResults/transfer_generated_continuous/controllers/top_controllers/NLO_2_seed3_best.controller', '0', '20', [0.10152, 0.992959, 0.997777],64]
['/workspace/scratch/jobs/earza/transfer_randomly_generated/experimentResults/transfer_generated_continuous/controllers/top_controllers/NLO_4_seed3_best.controller', '0', '20', [0.144725, 0.92746, 0.733709],1]
['/workspace/scratch/jobs/earza/transfer_randomly_generated/experimentResults/transfer_generated_continuous/controllers/top_controllers/NLO_4_seed3_best.controller', '0', '20', [0.14492, 0.927341, 0.733332],2]
['/workspace/scratch/jobs/earza/transfer_randomly_generated/experimentResults/transfer_generated_continuous/controllers/top_controllers/NLO_4_seed3_best.controller', '0', '20', [0.145016, 0.926875, 0.731606],4]
['/workspace/scratch/jobs/earza/transfer_randomly_generated/experimentResults/transfer_generated_continuous/controllers/top_controllers/NLO_4_seed3_best.controller', '0', '20', [0.145257, 0.926825, 0.731068],8]
['/workspace/scratch/jobs/earza/transfer_randomly_generated/experimentResults/transfer_generated_continuous/controllers/top_controllers/NLO_4_seed3_best.controller', '0', '20', [0.144987, 0.926376, 0.730127],16]
['/workspace/scratch/jobs/earza/transfer_randomly_generated/experimentResults/transfer_generated_continuous/controllers/top_controllers/NLO_4_seed3_best.controller', '0', '20', [0.144889, 0.927276, 0.733191],32]
['/workspace/scratch/jobs/earza/transfer_randomly_generated/experimentResults/transfer_generated_continuous/controllers/top_controllers/NLO_4_seed3_best.controller', '0', '20', [0.144822, 0.925444, 0.727602],64]
['/workspace/scratch/jobs/earza/transfer_randomly_generated/experimentResults/transfer_generated_continuous/controllers/top_controllers/NLO_8_seed3_best.controller', '0', '20', [0.0785319, 0.936363, 0.878238],1]
['/workspace/scratch/jobs/earza/transfer_randomly_generated/experimentResults/transfer_generated_continuous/controllers/top_controllers/NLO_8_seed3_best.controller', '0', '20', [0.0787696, 0.936452, 0.878359],2]
['/workspace/scratch/jobs/earza/transfer_randomly_generated/experimentResults/transfer_generated_continuous/controllers/top_controllers/NLO_8_seed3_best.controller', '0', '20', [0.0790074, 0.936255, 0.878262],4]
['/workspace/scratch/jobs/earza/transfer_randomly_generated/experimentResults/transfer_generated_continuous/controllers/top_controllers/NLO_8_seed3_best.controller', '0', '20', [0.0788896, 0.936343, 0.878336],8]
['/workspace/scratch/jobs/earza/transfer_randomly_generated/experimentResults/transfer_generated_continuous/controllers/top_controllers/NLO_8_seed3_best.controller', '0', '20', [0.07957, 0.936542, 0.878597],16]
['/workspace/scratch/jobs/earza/transfer_randomly_generated/experimentResults/transfer_generated_continuous/controllers/top_controllers/NLO_8_seed3_best.controller', '0', '20', [0.0789576, 0.936223, 0.878185],32]
['/workspace/scratch/jobs/earza/transfer_randomly_generated/experimentResults/transfer_generated_continuous/controllers/top_controllers/NLO_8_seed3_best.controller', '0', '20', [0.0807664, 0.937256, 0.879188],64]
['/workspace/scratch/jobs/earza/transfer_randomly_generated/experimentResults/transfer_generated_continuous/controllers/top_controllers/NLO_16_seed3_best.controller', '0', '20', [0.155576, 0.988676, 0.943742],1]
['/workspace/scratch/jobs/earza/transfer_randomly_generated/experimentResults/transfer_generated_continuous/controllers/top_controllers/NLO_16_seed3_best.controller', '0', '20', [0.155675, 0.988794, 0.943909],2]
['/workspace/scratch/jobs/earza/transfer_randomly_generated/experimentResults/transfer_generated_continuous/controllers/top_controllers/NLO_16_seed3_best.controller', '0', '20', [0.155443, 0.988631, 0.944251],4]
['/workspace/scratch/jobs/earza/transfer_randomly_generated/experimentResults/transfer_generated_continuous/controllers/top_controllers/NLO_16_seed3_best.controller', '0', '20', [0.155335, 0.988529, 0.944334],8]
['/workspace/scratch/jobs/earza/transfer_randomly_generated/experimentResults/transfer_generated_continuous/controllers/top_controllers/NLO_16_seed3_best.controller', '0', '20', [0.155351, 0.988639, 0.944546],16]
['/workspace/scratch/jobs/earza/transfer_randomly_generated/experimentResults/transfer_generated_continuous/controllers/top_controllers/NLO_16_seed3_best.controller', '0', '20', [0.155707, 0.988779, 0.943934],32]
['/workspace/scratch/jobs/earza/transfer_randomly_generated/experimentResults/transfer_generated_continuous/controllers/top_controllers/NLO_16_seed3_best.controller', '0', '20', [0.155567, 0.98883, 0.945149],64]
['/workspace/scratch/jobs/earza/transfer_randomly_generated/experimentResults/transfer_generated_continuous/controllers/top_controllers/NLO_32_seed3_best.controller', '0', '20', [0.0492715, 0.999984, 0.999839],1]
['/workspace/scratch/jobs/earza/transfer_randomly_generated/experimentResults/transfer_generated_continuous/controllers/top_controllers/NLO_32_seed3_best.controller', '0', '20', [0.0501942, 0.999984, 0.999832],2]
['/workspace/scratch/jobs/earza/transfer_randomly_generated/experimentResults/transfer_generated_continuous/controllers/top_controllers/NLO_32_seed3_best.controller', '0', '20', [0.0518806, 0.999984, 0.999831],4]
['/workspace/scratch/jobs/earza/transfer_randomly_generated/experimentResults/transfer_generated_continuous/controllers/top_controllers/NLO_32_seed3_best.controller', '0', '20', [0.0518795, 0.999984, 0.999826],8]
['/workspace/scratch/jobs/earza/transfer_randomly_generated/experimentResults/transfer_generated_continuous/controllers/top_controllers/NLO_32_seed3_best.controller', '0', '20', [0.0548034, 0.999985, 0.999824],16]
['/workspace/scratch/jobs/earza/transfer_randomly_generated/experimentResults/transfer_generated_continuous/controllers/top_controllers/NLO_32_seed3_best.controller', '0', '20', [0.0502868, 0.999984, 0.999838],32]
['/workspace/scratch/jobs/earza/transfer_randomly_generated/experimentResults/transfer_generated_continuous/controllers/top_controllers/NLO_32_seed3_best.controller', '0', '20', [0.0592683, 0.999985, 0.999803],64]
