['/workspace/scratch/jobs/earza/fakeHome/experimentResults/transfer_16_continuous_problems/controllers/top_controllers/TrainOnlyInF_4_seed2_best.controller', '7', '20', [0.124285, 0.984672, 0.607155]]
['/workspace/scratch/jobs/earza/fakeHome/experimentResults/transfer_16_continuous_problems/controllers/top_controllers/TrainOnlyInF_4_seed2_best.controller', '8', '20', [0.11096, 0.983457, 0.548652]]
['/workspace/scratch/jobs/earza/fakeHome/experimentResults/transfer_16_continuous_problems/controllers/top_controllers/TrainOnlyInF_4_seed2_best.controller', '9', '20', [0.127233, 0.985226, 0.621012]]
['/workspace/scratch/jobs/earza/fakeHome/experimentResults/transfer_16_continuous_problems/controllers/top_controllers/TrainOnlyInF_4_seed2_best.controller', '10', '20', [0.0880037, 0.983938, 0.481329]]
['/workspace/scratch/jobs/earza/fakeHome/experimentResults/transfer_16_continuous_problems/controllers/top_controllers/TrainOnlyInF_4_seed2_best.controller', '11', '20', [0.0434246, 0.982463, 0.312699]]
['/workspace/scratch/jobs/earza/fakeHome/experimentResults/transfer_16_continuous_problems/controllers/top_controllers/TrainOnlyInF_4_seed2_best.controller', '12', '20', [0.0607929, 0.983177, 0.386218]]
['/workspace/scratch/jobs/earza/fakeHome/experimentResults/transfer_16_continuous_problems/controllers/top_controllers/TrainOnlyInF_5_seed2_best.controller', '1', '20', [0.148062, 0.833503, 0.923838]]
['/workspace/scratch/jobs/earza/fakeHome/experimentResults/transfer_16_continuous_problems/controllers/top_controllers/TrainOnlyInF_5_seed2_best.controller', '2', '20', [0.148062, 0.833503, 0.923838]]
['/workspace/scratch/jobs/earza/fakeHome/experimentResults/transfer_16_continuous_problems/controllers/top_controllers/TrainOnlyInF_5_seed2_best.controller', '3', '20', [0.147531, 0.838685, 0.912629]]
['/workspace/scratch/jobs/earza/fakeHome/experimentResults/transfer_16_continuous_problems/controllers/top_controllers/TrainOnlyInF_5_seed2_best.controller', '4', '20', [0.147617, 0.833949, 0.925127]]
['/workspace/scratch/jobs/earza/fakeHome/experimentResults/transfer_16_continuous_problems/controllers/top_controllers/TrainOnlyInF_5_seed2_best.controller', '5', '20', [0.147512, 0.829417, 0.905281]]
['/workspace/scratch/jobs/earza/fakeHome/experimentResults/transfer_16_continuous_problems/controllers/top_controllers/TrainOnlyInF_5_seed2_best.controller', '6', '20', [0.148955, 0.833113, 0.919635]]
['/workspace/scratch/jobs/earza/fakeHome/experimentResults/transfer_16_continuous_problems/controllers/top_controllers/TrainOnlyInF_5_seed2_best.controller', '7', '20', [0.0681445, 0.766514, 0.881916]]
['/workspace/scratch/jobs/earza/fakeHome/experimentResults/transfer_16_continuous_problems/controllers/top_controllers/TrainOnlyInF_5_seed2_best.controller', '8', '20', [0.0263202, 0.754091, 0.922382]]
['/workspace/scratch/jobs/earza/fakeHome/experimentResults/transfer_16_continuous_problems/controllers/top_controllers/TrainOnlyInF_5_seed2_best.controller', '9', '20', [0.106588, 0.80698, 0.918513]]
['/workspace/scratch/jobs/earza/fakeHome/experimentResults/transfer_16_continuous_problems/controllers/top_controllers/TrainOnlyInF_5_seed2_best.controller', '10', '20', [0.134231, 0.822658, 0.916004]]
['/workspace/scratch/jobs/earza/fakeHome/experimentResults/transfer_16_continuous_problems/controllers/top_controllers/TrainOnlyInF_5_seed2_best.controller', '11', '20', [0.148034, 0.833493, 0.923868]]
['/workspace/scratch/jobs/earza/fakeHome/experimentResults/transfer_16_continuous_problems/controllers/top_controllers/TrainOnlyInF_5_seed2_best.controller', '12', '20', [0.129761, 0.818659, 0.91101]]
['/workspace/scratch/jobs/earza/fakeHome/experimentResults/transfer_16_continuous_problems/controllers/top_controllers/TrainOnlyInF_6_seed2_best.controller', '1', '20', [0.0282188, 0.799372, 0.711268]]
['/workspace/scratch/jobs/earza/fakeHome/experimentResults/transfer_16_continuous_problems/controllers/top_controllers/TrainOnlyInF_6_seed2_best.controller', '2', '20', [0.0282188, 0.799372, 0.711268]]
['/workspace/scratch/jobs/earza/fakeHome/experimentResults/transfer_16_continuous_problems/controllers/top_controllers/TrainOnlyInF_6_seed2_best.controller', '3', '20', [0.0226303, 0.776327, 0.692108]]
['/workspace/scratch/jobs/earza/fakeHome/experimentResults/transfer_16_continuous_problems/controllers/top_controllers/TrainOnlyInF_6_seed2_best.controller', '4', '20', [0.0251008, 0.792388, 0.704432]]
['/workspace/scratch/jobs/earza/fakeHome/experimentResults/transfer_16_continuous_problems/controllers/top_controllers/TrainOnlyInF_6_seed2_best.controller', '5', '20', [0.0237319, 0.792305, 0.713892]]
['/workspace/scratch/jobs/earza/fakeHome/experimentResults/transfer_16_continuous_problems/controllers/top_controllers/TrainOnlyInF_6_seed2_best.controller', '6', '20', [0.0274154, 0.797825, 0.711042]]
['/workspace/scratch/jobs/earza/fakeHome/experimentResults/transfer_16_continuous_problems/controllers/top_controllers/TrainOnlyInF_6_seed2_best.controller', '7', '20', [-0.00323805, 0.758875, 0.728161]]
['/workspace/scratch/jobs/earza/fakeHome/experimentResults/transfer_16_continuous_problems/controllers/top_controllers/TrainOnlyInF_6_seed2_best.controller', '8', '20', [0.00767872, 0.759778, 0.70793]]
['/workspace/scratch/jobs/earza/fakeHome/experimentResults/transfer_16_continuous_problems/controllers/top_controllers/TrainOnlyInF_6_seed2_best.controller', '9', '20', [0.00734895, 0.777621, 0.724307]]
['/workspace/scratch/jobs/earza/fakeHome/experimentResults/transfer_16_continuous_problems/controllers/top_controllers/TrainOnlyInF_6_seed2_best.controller', '10', '20', [0.0201341, 0.791707, 0.717954]]
['/workspace/scratch/jobs/earza/fakeHome/experimentResults/transfer_16_continuous_problems/controllers/top_controllers/TrainOnlyInF_6_seed2_best.controller', '11', '20', [0.0282226, 0.799372, 0.711266]]
['/workspace/scratch/jobs/earza/fakeHome/experimentResults/transfer_16_continuous_problems/controllers/top_controllers/TrainOnlyInF_6_seed2_best.controller', '12', '20', [0.0220479, 0.798795, 0.719988]]
['/workspace/scratch/jobs/earza/fakeHome/experimentResults/transfer_16_continuous_problems/controllers/top_controllers/TrainOnlyInF_7_seed2_best.controller', '1', '20', [0.170461, 0.862187, 0.558183]]
['/workspace/scratch/jobs/earza/fakeHome/experimentResults/transfer_16_continuous_problems/controllers/top_controllers/TrainOnlyInF_7_seed2_best.controller', '2', '20', [0.170461, 0.862187, 0.558183]]
['/workspace/scratch/jobs/earza/fakeHome/experimentResults/transfer_16_continuous_problems/controllers/top_controllers/TrainOnlyInF_7_seed2_best.controller', '3', '20', [0.181136, 0.842076, 0.577279]]
['/workspace/scratch/jobs/earza/fakeHome/experimentResults/transfer_16_continuous_problems/controllers/top_controllers/TrainOnlyInF_7_seed2_best.controller', '4', '20', [0.174948, 0.857806, 0.559996]]
['/workspace/scratch/jobs/earza/fakeHome/experimentResults/transfer_16_continuous_problems/controllers/top_controllers/TrainOnlyInF_7_seed2_best.controller', '5', '20', [0.165489, 0.864084, 0.577492]]
['/workspace/scratch/jobs/earza/fakeHome/experimentResults/transfer_16_continuous_problems/controllers/top_controllers/TrainOnlyInF_7_seed2_best.controller', '6', '20', [0.170767, 0.861464, 0.557315]]
['/workspace/scratch/jobs/earza/fakeHome/experimentResults/transfer_16_continuous_problems/controllers/top_controllers/TrainOnlyInF_7_seed2_best.controller', '7', '20', [0.152113, 0.87818, 0.696148]]
['/workspace/scratch/jobs/earza/fakeHome/experimentResults/transfer_16_continuous_problems/controllers/top_controllers/TrainOnlyInF_7_seed2_best.controller', '8', '20', [0.150334, 0.875282, 0.66016]]
