max_solver_fe_controller,max_solver_fe_problem,popsize_problem,problem_index,score
1200.0,1200.0,8.0,src/experiments/permus/instances/transfer_permuproblems/qap/tai80a.qap,-15045298.59
1200.0,1200.0,8.0,src/experiments/permus/instances/transfer_permuproblems/qap/tai100a.qap,-23343354.66
1200.0,1200.0,8.0,src/experiments/permus/instances/transfer_permuproblems/qap/sko90.qap,-129229.64
1200.0,1200.0,8.0,src/experiments/permus/instances/transfer_permuproblems/qap/tai100b.qap,-1517232744.825
1200.0,1200.0,8.0,src/experiments/permus/instances/transfer_permuproblems/qap/sko100a.qap,-169537.16
1200.0,1200.0,8.0,src/experiments/permus/instances/transfer_permuproblems/qap/sko100b.qap,-171680.57
1200.0,1200.0,8.0,src/experiments/permus/instances/transfer_permuproblems/qap/tai60a.qap,-8094486.43
1200.0,1200.0,8.0,src/experiments/permus/instances/transfer_permuproblems/qap/tai80b.qap,-1042398699.315
1200.0,1200.0,8.0,src/experiments/permus/instances/transfer_permuproblems/tsp/kroE100.tsp,-69894.7724986357
1200.0,1200.0,8.0,src/experiments/permus/instances/transfer_permuproblems/tsp/ch130.tsp,-21765.9378431607
1200.0,1200.0,8.0,src/experiments/permus/instances/transfer_permuproblems/tsp/eil101.tsp,-1551.57875044546
1200.0,1200.0,8.0,src/experiments/permus/instances/transfer_permuproblems/tsp/eil76.tsp,-1097.27023124786
1200.0,1200.0,8.0,src/experiments/permus/instances/transfer_permuproblems/tsp/kroA100.tsp,-68882.6627232373
1200.0,1200.0,8.0,src/experiments/permus/instances/transfer_permuproblems/tsp/st70.tsp,-1465.73723733845
1200.0,1200.0,8.0,src/experiments/permus/instances/transfer_permuproblems/tsp/rat99.tsp,-3445.36005898855
1200.0,1200.0,8.0,src/experiments/permus/instances/transfer_permuproblems/tsp/kroB100.tsp,-68216.7952162344
