max_solver_fe_controller,max_solver_fe_problem,popsize_problem,problem_index,score
400.0,400.0,8.0,src/experiments/permus/instances/transfer_qap_cut_instances/C2_cut40_sko49.qap,-15548.97
400.0,400.0,8.0,src/experiments/permus/instances/transfer_qap_cut_instances/A2_cut40_tai50a.qap,-3378648.2
400.0,400.0,8.0,src/experiments/permus/instances/transfer_qap_cut_instances/C3_cut40_sko56.qap,-16576.23
1200.0,400.0,8.0,src/experiments/permus/instances/transfer_qap_cut_instances/A5_cut40_tai100a.qap,-3252741.26
1200.0,400.0,8.0,src/experiments/permus/instances/transfer_qap_cut_instances/B6_cut40_tai80b_1.qap,-158358439.6
1200.0,400.0,8.0,src/experiments/permus/instances/transfer_qap_cut_instances/C7_cut40_sko90_1.qap,-15935.2
1200.0,400.0,8.0,src/experiments/permus/instances/transfer_qap_cut_instances/C5_cut40_sko72.qap,-17108.33
1200.0,400.0,8.0,src/experiments/permus/instances/transfer_qap_cut_instances/A4_cut40_tai80a.qap,-3530614.9
1200.0,400.0,8.0,src/experiments/permus/instances/transfer_qap_cut_instances/A7_cut40_tai100a_1.qap,-3501377.08
1200.0,400.0,8.0,src/experiments/permus/instances/transfer_qap_cut_instances/C4_cut40_sko64.qap,-15993.59
1200.0,400.0,8.0,src/experiments/permus/instances/transfer_qap_cut_instances/A6_cut40_tai80a_1.qap,-3504399.11
1200.0,400.0,8.0,src/experiments/permus/instances/transfer_qap_cut_instances/C1_cut40_sko42.qap,-15641.17
1200.0,400.0,8.0,src/experiments/permus/instances/transfer_qap_cut_instances/B4_cut40_tai80b.qap,-206908830.585
1200.0,400.0,8.0,src/experiments/permus/instances/transfer_qap_cut_instances/B5_cut40_tai100b.qap,-231761510.025
1200.0,400.0,8.0,src/experiments/permus/instances/transfer_qap_cut_instances/B7_cut40_tai100b_1.qap,-115419731.49
1200.0,400.0,8.0,src/experiments/permus/instances/transfer_qap_cut_instances/C6_cut40_sko81_1.qap,-16287.84
1200.0,400.0,8.0,src/experiments/permus/instances/transfer_qap_cut_instances/A1_cut40_tai40a.qap,-3453382.36
1200.0,400.0,8.0,src/experiments/permus/instances/transfer_qap_cut_instances/A3_cut40_tai60a.qap,-3451410.0
1200.0,400.0,8.0,src/experiments/permus/instances/transfer_qap_cut_instances/B2_cut40_tai50b.qap,-328444537.22
1200.0,400.0,8.0,src/experiments/permus/instances/transfer_qap_cut_instances/B3_cut40_tai60b.qap,-260646379.24
1200.0,400.0,8.0,src/experiments/permus/instances/transfer_qap_cut_instances/B1_cut40_tai40b.qap,-801835371.39
1200.0,400.0,8.0,src/experiments/permus/instances/transfer_qap_cut_instances/C2_cut40_sko49.qap,-15596.9
1200.0,400.0,8.0,src/experiments/permus/instances/transfer_qap_cut_instances/A2_cut40_tai50a.qap,-3374668.39
1200.0,400.0,8.0,src/experiments/permus/instances/transfer_qap_cut_instances/C3_cut40_sko56.qap,-16584.54
400.0,1200.0,8.0,src/experiments/permus/instances/transfer_qap_cut_instances/A5_cut40_tai100a.qap,-3159333.42
400.0,1200.0,8.0,src/experiments/permus/instances/transfer_qap_cut_instances/B6_cut40_tai80b_1.qap,-145202907.39
400.0,1200.0,8.0,src/experiments/permus/instances/transfer_qap_cut_instances/C7_cut40_sko90_1.qap,-15244.62
400.0,1200.0,8.0,src/experiments/permus/instances/transfer_qap_cut_instances/C5_cut40_sko72.qap,-16485.54
400.0,1200.0,8.0,src/experiments/permus/instances/transfer_qap_cut_instances/A4_cut40_tai80a.qap,-3442427.29
400.0,1200.0,8.0,src/experiments/permus/instances/transfer_qap_cut_instances/A7_cut40_tai100a_1.qap,-3416455.82
400.0,1200.0,8.0,src/experiments/permus/instances/transfer_qap_cut_instances/C4_cut40_sko64.qap,-15363.25
400.0,1200.0,8.0,src/experiments/permus/instances/transfer_qap_cut_instances/A6_cut40_tai80a_1.qap,-3412879.02
400.0,1200.0,8.0,src/experiments/permus/instances/transfer_qap_cut_instances/C1_cut40_sko42.qap,-15003.0
400.0,1200.0,8.0,src/experiments/permus/instances/transfer_qap_cut_instances/B4_cut40_tai80b.qap,-191347784.68
400.0,1200.0,8.0,src/experiments/permus/instances/transfer_qap_cut_instances/B5_cut40_tai100b.qap,-208960691.91
